21/2/2020 12:25:35
Time(ms)	Pressure(psig)	RPS	Current	Voltage
3031.00	114.80	16.27	5.97	3.30
3036.00	129.89	16.27	5.70	3.30
3041.00	121.34	16.27	5.74	3.30
3045.00	122.51	16.27	5.62	3.30
3050.00	131.71	16.27	5.66	3.30
3055.00	118.31	16.27	5.71	3.30
3059.00	135.97	16.27	5.61	3.30
3064.00	105.09	16.27	6.09	3.30
3069.00	130.50	16.27	5.58	3.30
3073.00	109.66	16.27	6.37	3.30
3078.00	129.57	16.27	5.39	3.30
3083.00	128.35	16.27	6.50	3.30
3087.00	123.54	16.27	5.35	3.30
3092.00	133.12	16.27	6.64	3.30
3096.00	114.94	16.27	5.49	3.30
3101.00	132.37	16.27	6.65	3.30
3106.00	106.72	16.27	5.39	3.30
3110.00	129.94	16.27	6.46	3.30
3115.00	116.06	16.27	5.38	3.30
3120.00	133.44	16.27	6.31	3.30
3124.00	131.67	16.27	5.47	3.30
3129.00	127.23	16.27	6.15	3.30
3134.00	132.74	16.27	5.42	3.30
3138.00	99.95	16.27	5.79	3.30
3143.00	131.85	16.27	5.52	3.30
3148.00	104.43	16.27	5.68	3.30
3152.00	133.21	16.27	5.89	3.30
3157.00	119.99	16.27	5.57	3.30
3162.00	129.38	16.27	6.05	3.29
3166.00	125.64	16.27	5.51	3.30
3171.00	116.11	16.27	6.16	3.30
